21:29:06 INFO  manager.ApplicationManager - Chrome Driver was opened
21:29:10 INFO  manager.ApplicationManager - Current URL --> https://contacts-app.tobbymarshall815.vercel.app/home
21:29:11 INFO  TestBase - Starts test with name : DeleteAllContactsSuccessClassWork
21:29:11 INFO  manager.MyListener - Before Find Elements By -->By.xpath: //button
21:29:14 INFO  manager.MyListener - After Find Elements By -->By.xpath: //button
21:29:14 INFO  manager.MyListener - List size is -->0
21:29:14 INFO  manager.MyListener - Before Find Element By -->By.xpath: //a[@href='/login']
21:29:14 INFO  manager.MyListener - After Find Element By -->By.xpath: //a[@href='/login']
21:29:15 INFO  manager.MyListener - Before Find Element By -->By.xpath: //input[contains(@placeholder,'Email')]
21:29:15 INFO  manager.MyListener - After Find Element By -->By.xpath: //input[contains(@placeholder,'Email')]
21:29:15 INFO  manager.MyListener - Before Find Element By -->By.xpath: //input[@placeholder='Password']
21:29:15 INFO  manager.MyListener - After Find Element By -->By.xpath: //input[@placeholder='Password']
21:29:15 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[normalize-space()='Login']
21:29:15 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[normalize-space()='Login']
21:29:15 INFO  manager.MyListener - Before Find Elements By -->By.xpath: //div[@class='contact-page_leftdiv__yhyke']
21:29:16 INFO  manager.MyListener - After Find Elements By -->By.xpath: //div[@class='contact-page_leftdiv__yhyke']
21:29:16 INFO  manager.MyListener - List size is -->1
21:29:16 INFO  manager.MyListener - Before Find Element By -->By.xpath: //a[.='ADD']
21:29:16 INFO  manager.MyListener - After Find Element By -->By.xpath: //a[.='ADD']
21:29:17 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:17 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:17 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:17 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:17 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='email']
21:29:17 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='email']
21:29:17 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:17 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:17 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:18 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:18 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='description']
21:29:18 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='description']
21:29:18 INFO  manager.MyListener - Before Find Element By -->By.xpath: //b
21:29:18 INFO  manager.MyListener - After Find Element By -->By.xpath: //b
21:29:19 INFO  manager.HelperBase - Provider added contact --> Contact(name=Gigi, lastName=Buffon, email=buffon@mail.it198, phone=+39574123198, address=Parma, description=Goalkeeper)
21:29:19 INFO  manager.MyListener - Before Find Element By -->By.xpath: //a[.='ADD']
21:29:19 INFO  manager.MyListener - After Find Element By -->By.xpath: //a[.='ADD']
21:29:19 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:19 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:19 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:19 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:20 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='email']
21:29:20 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='email']
21:29:20 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:20 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:20 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:20 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:20 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='description']
21:29:20 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='description']
21:29:21 INFO  manager.MyListener - Before Find Element By -->By.xpath: //b
21:29:21 INFO  manager.MyListener - After Find Element By -->By.xpath: //b
21:29:22 INFO  manager.HelperBase - Provider added contact --> Contact(name=Gigi, lastName=Buffon, email=buffon@mail.it111, phone=+39574123111, address=Parma, description=Goalkeeper)
21:29:22 INFO  manager.MyListener - Before Find Element By -->By.xpath: //a[.='ADD']
21:29:22 INFO  manager.MyListener - After Find Element By -->By.xpath: //a[.='ADD']
21:29:22 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:22 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:22 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:22 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:22 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='email']
21:29:22 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='email']
21:29:22 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:22 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:23 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:23 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:23 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='description']
21:29:23 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='description']
21:29:23 INFO  manager.MyListener - Before Find Element By -->By.xpath: //b
21:29:23 INFO  manager.MyListener - After Find Element By -->By.xpath: //b
21:29:24 INFO  manager.HelperBase - Provider added contact --> Contact(name=Gigi, lastName=Buffon, email=buffon@mail.it154, phone=+39574123154, address=Parma, description=Goalkeeper)
21:29:24 INFO  manager.MyListener - Before Find Elements By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:24 INFO  manager.MyListener - After Find Elements By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:24 INFO  manager.MyListener - List size is -->5
21:29:24 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:24 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:24 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[.='Remove']
21:29:24 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[.='Remove']
21:29:25 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:25 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:25 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[.='Remove']
21:29:25 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[.='Remove']
21:29:27 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:27 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:27 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[.='Remove']
21:29:27 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[.='Remove']
21:29:28 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:28 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:28 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[.='Remove']
21:29:28 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[.='Remove']
21:29:29 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:29 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-item_card__2SOIM h3
21:29:29 INFO  manager.MyListener - Before Find Element By -->By.xpath: //button[.='Remove']
21:29:29 INFO  manager.MyListener - After Find Element By -->By.xpath: //button[.='Remove']
21:29:30 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: .contact-page_message__2qafk h1
21:29:30 INFO  manager.MyListener - After Find Element By -->By.cssSelector: .contact-page_message__2qafk h1
21:29:30 INFO  TestBase - Starts test with name : DeleteAllContactsSuccessHomeWork
21:29:30 INFO  manager.MyListener - Before Find Elements By -->By.xpath: //button
21:29:30 INFO  manager.MyListener - After Find Elements By -->By.xpath: //button
21:29:30 INFO  manager.MyListener - List size is -->1
21:29:30 INFO  manager.MyListener - Before Find Elements By -->By.xpath: //div[@class='contact-page_leftdiv__yhyke']
21:29:33 INFO  manager.MyListener - After Find Elements By -->By.xpath: //div[@class='contact-page_leftdiv__yhyke']
21:29:33 INFO  manager.MyListener - List size is -->0
21:29:33 INFO  manager.MyListener - Before Find Element By -->By.xpath: //a[.='ADD']
21:29:33 INFO  manager.MyListener - After Find Element By -->By.xpath: //a[.='ADD']
21:29:33 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:34 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Name']
21:29:34 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:34 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Last Name']
21:29:34 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='email']
21:29:34 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='email']
21:29:34 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:34 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Phone']
21:29:34 INFO  manager.MyListener - Before Find Element By -->By.cssSelector: input[placeholder='Address']
21:29:34 INFO  manager.MyListener - After Find Element By -->By.cssSelector: input[placeholder='Address']
